Crash ID,Crash Severity,Crash Time,Day of Week,Manner of Collision,Speed Limit,Surface Condition,Surface Type,Surface Width,Weather Condition,Vehicle Body Style,Person Age,Person Alcohol Result,Person Drug Test Result,Person Ethnicity,Person Gender,y
19757646,N - NOT INJURED,16:34:00,FRIDAY,OPPOSITE DIRECTION - BOTH GOING STRAIGHT,40,1 - DRY,No Data,No Data,1 - CLEAR,BU - BUS,7,No Data,No Data,,,96
19759708,N - NOT INJURED,14:32:00,SATURDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,70,1 - DRY,No Data,48,1 - CLEAR,SV - SPORT UTILITY VEHICLE,32,No Data,No Data,W - WHITE,2 - FEMALE,29
19659939,B - SUSPECTED MINOR INJURY,,SATURDAY,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,50,1 - DRY,No Data,64,2 - CLOUDY,"P4 - PASSENGER CAR, 4-DOOR",,No Data,97 - NOT APPLICABLE,W - WHITE,2 - FEMALE,51
19717414,N - NOT INJURED,08:18:00,WEDNESDAY,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,50,1 - DRY,No Data,72,1 - CLEAR,SV - SPORT UTILITY VEHICLE,40,No Data,97 - NOT APPLICABLE,B - BLACK,2 - FEMALE,75
19507708,N - NOT INJURED,17:50:00,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,40,1 - DRY,No Data,50,1 - CLEAR,PK - PICKUP,,No Data,97 - NOT APPLICABLE,W - WHITE,1 - MALE,130
19570320,N - NOT INJURED,,FRIDAY,OPPOSITE DIRECTION - ONE STRAIGHT-ONE LEFT TURN,50,1 - DRY,No Data,72,1 - CLEAR,PK - PICKUP,18,No Data,97 - NOT APPLICABLE,W - WHITE,2 - FEMALE,43
19563937,N - NOT INJURED,18:53:00,,ANGLE - BOTH GOING STRAIGHT,40,1 - DRY,No Data,72,1 - CLEAR,"P4 - PASSENGER CAR, 4-DOOR",39,No Data,97 - NOT APPLICABLE,W - WHITE,2 - FEMALE,2
19579023,C - POSSIBLE INJURY,12:00:00,THURSDAY,ANGLE - BOTH GOING STRAIGHT,35,1 - DRY,No Data,No Data,2 - CLOUDY,"P4 - PASSENGER CAR, 4-DOOR",32,No Data,No Data,,1 - MALE,60
19604373,N - NOT INJURED,19:02:00,FRIDAY,ANGLE - BOTH GOING STRAIGHT,30,1 - DRY,No Data,No Data,1 - CLEAR,"P2 - PASSENGER CAR, 2-DOOR",15,No Data,97 - NOT APPLICABLE,H - HISPANIC,2 - FEMALE,36
19623641,N - NOT INJURED,12:16:00,WEDNESDAY,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,60,1 - DRY,No Data,38,1 - CLEAR,"P4 - PASSENGER CAR, 4-DOOR",7,No Data,No Data,W - WHITE,,23
